division,equipe,stade,latitude,longitude
L1,Angers Sporting Club de l'Ouest,Stade Raymond-Kopa,47.460458,-0.530741
L1,Association de la jeunesse auxerroise,Stade de l'Abbé-Deschamps,47.786765,3.588654
L1,Stade brestois 29,Stade Francis-Le Blé,48.403128,-4.46159
L1,Le Havre Athletic Club (football),Stade Océane,49.49888,0.169722
L1,Racing Club de Lens,Stade Bollaert-Delelis,50.43278,2.815
L1,LOSC Lille,Stade Pierre-Mauroy,50.611962,3.130631
L1,Olympique lyonnais,Parc Olympique lyonnais,45.7652477,4.9818707
L1,Olympique de Marseille,Stade Vélodrome,43.269806,5.395922
L1,Association sportive de Monaco Football Club,Stade Louis-II,43.7275,7.415555
L1,Montpellier Hérault Sport Club,Stade de la Mosson,43.621856,3.8122183
L1,Football Club de Nantes,Stade de la Beaujoire,47.255631,-1.525375
L1,Olympique Gymnaste Club de Nice,Allianz Riviera,43.704926,7.192608
L1,Paris Saint-Germain Football Club,Parc des Princes,48.8413634,2.2530693
L1,Stade de Reims,Stade Auguste-Delaune,49.246704,4.024962
L1,Stade rennais Football Club,Roazhon Park,48.1075,-1.712778
L1,Association sportive de Saint-Étienne,Stade Geoffroy-Guichard,45.460856,4.390344
L1,Racing Club de Strasbourg Alsace,Stade de la Meinau,48.560064,7.754969
L1,Toulouse Football Club,Stadium de Toulouse,43.583296,1.434055
L2,Athletic Club ajaccien,Stade Michel-Moretti,41.93157,8.77887
L2,Amiens Sporting Club,Stade de la Licorne,49.893889,2.263611
L2,Football Club d'Annecy,Parc des Sports d'Annecy,45.9164972,6.1180544
L2,Sporting Club de Bastia,Stade Armand-Cesari,42.651395,9.442758
L2,Stade Malherbe Caen,Stade Michel-d'Ornano,49.179426,-0.396713
L2,Clermont Foot 63,Stade Gabriel-Montpied,45.81584,3.12162
L2,Union sportive du littoral de Dunkerque,Stade Marcel-Tribut,51.0356,2.39028
L2,Grenoble Foot 38,Stade des Alpes,45.187428,5.740099
L2,En avant de Guingamp,Stade de Roudourou,48.566116,-3.16445
L2,Stade lavallois Mayenne Football Club,Stade Francis-Le-Basser,48.0824,-0.7548
L2,Football Club de Lorient,Stade du Moustoir,47.748848,-3.369043
L2,Football Club de Martigues,Stade Jean-Laville,46.595178,4.055883
L2,Football Club de Metz,Stade Saint-Symphorien,49.1098,6.1593
L2,Paris Football Club,Stade Charléty,48.818526,2.34646
L2,Pau Football Club,Nouste Camp,43.30803,-0.325681
L2,Red Star Football Club,Stade Bauer,48.905833,2.340833
L2,Rodez Aveyron Football,Stade Paul-Lignon,44.35161,2.56376
L2,Espérance sportive Troyes Aube Champagne,Stade de l'Aube,48.307413,4.09855
L2,Paris Football Club,Stade Charléty,48.818526,2.34646
L2,Red Star Football Club,Stade Bauer,48.905833,2.340833
